rank,trend_name,growth_percent,growth_numeric
1.0,Roll On Oil,"12,600%",12600.0
2.0,Keyboard Cleaning Gel,"10,500%",10500.0
3.0,L-Threonate,"7,600%",7600.0
4.0,Shower Steamers,"5,800%",5800.0
5.0,Strawberry Collagen,"4,300%",4300.0
6.0,Hook-And-Loop Fastener,"3,600%",3600.0
7.0,Broccoli Powder,"2,500%",2500.0
8.0,Fragrance Free Body Wash,"2,200%",2200.0
9.0,Kojic Acid Serum,"2,000%",2000.0
10.0,Insect Dog Food,"1,800%",1800.0
16.0,Pistachio Body Butter,"1,400%",1400.0
30.0,Freeze Dried Skittles,"1,000%",1000.0
31.0,Fridge Deodorizer,963%,963.0
32.0,Protein Chai,926%,926.0
33.0,Shampoo Massager,904%,904.0
34.0,Yerba Mate Eye Gel,899%,899.0
35.0,Lymphatic Drainage Machine,897%,897.0
36.0,Niacinamide Drops,876%,876.0
37.0,Nintendo Switch Charging Case,875%,875.0
38.0,Microwave Steam Cleaner,860%,860.0
39.0,Mushroom Coffee,836%,836.0
40.0,Flea And Tick Collar,824%,824.0
41.0,Anti Choking Device,815%,815.0
42.0,Criss Cross Chair,799%,799.0
43.0,Home Energy Monitor,789%,789.0
44.0,Handshower,771%,771.0
45.0,Faucet Glass Rinser,769%,769.0
46.0,Protein Hot Chocolate,759%,759.0
47.0,Peptide Moisturizer,751%,751.0
48.0,Phone Wrist Strap,745%,745.0
49.0,Cosrx Poropolis Toner,736%,736.0
50.0,GaN Travel Charger,734%,734.0
,Topic,% Growth (30 days),
,Electric Scissors,"1,600%",1600.0
,Mindfulness Dice,"1,600%",1600.0
,Chondroitin Gummies,"1,500%",1500.0
,Hair Fragrance,"1,500%",1500.0
,Glow Rice Ampoule,"1,500%",1500.0
,Nail Strengthener,"1,300%",1300.0
,Microfiber Bed Sheets,"1,300%",1300.0
,Polypeptide Face Moisturizer,"1,300%",1300.0
,Pinpointer,"1,300%",1300.0
,Foldable Projector,"1,300%",1300.0
,Portable Gaming Monitor,"1,200%",1200.0
,4 In 1 Mascara,"1,200%",1200.0
,Hyaluronic Acid Scalp Serum,"1,200%",1200.0
,Jarlsberg,"1,200%",1200.0
,Night Serum,"1,100%",1100.0
,AI Vacuum,"1,100%",1100.0
,Force Factor Total Beets,"1,100%",1100.0
,Electrolyte Mix,"1,100%",1100.0
